,Conflict type,Vehicle order,PET,TA
23,Merge,HV-AV,2.1,5.945035982037698
24,Merge,HV-AV,2.1,5.571706352229551
25,Merge,HV-AV,2.1,5.234506463619772
26,Merge,HV-AV,2.1,4.926388314535012
27,Merge,HV-AV,2.1,4.647792476392182
28,Merge,HV-AV,2.1,4.402371286447116
29,Merge,HV-AV,2.1,4.17679313740786
30,Merge,HV-AV,2.1,3.9729111799744774
31,Merge,HV-AV,2.1,3.792509980960387
32,Merge,HV-AV,2.1,3.6251781637197515
33,Merge,HV-AV,2.1,3.474304408333074
34,Merge,HV-AV,2.1,3.3381243220862897
35,Merge,HV-AV,2.1,3.2115473147693745
36,Merge,HV-AV,2.1,3.0956285433250175
37,Merge,HV-AV,2.1,2.993123880851131
38,Merge,HV-AV,2.1,2.900865639937367
106,Merge,HV-AV,5.7,-1.9888112892882726
107,Merge,HV-AV,5.7,-1.5488408017859578
108,Merge,HV-AV,5.7,-1.11899789307025
109,Merge,HV-AV,5.7,-0.6987369803973049
110,Merge,HV-AV,5.7,-0.2898995774810613
111,Merge,HV-AV,5.7,0.09507882889702302
112,Merge,HV-AV,5.7,0.45854179679319884
113,Merge,HV-AV,5.7,0.8039984060661292
114,Merge,HV-AV,5.7,1.1414499529834305
115,Merge,HV-AV,5.7,1.4667548623121176
116,Merge,HV-AV,5.7,1.7883313010646669
117,Merge,HV-AV,5.7,2.111010137103146
118,Merge,HV-AV,5.7,2.4354642437412397
119,Merge,HV-AV,5.7,2.77681419612595
120,Merge,HV-AV,5.7,3.138632693726135
121,Merge,HV-AV,5.7,3.5184421239666235
122,Merge,HV-AV,5.7,3.9294489128307215
123,Merge,HV-AV,5.7,4.387325966055874
124,Merge,HV-AV,5.7,4.889186744070303
125,Merge,HV-AV,5.7,5.451168754270299
126,Merge,HV-AV,5.7,6.094383709579658
127,Merge,HV-AV,5.7,6.815509960175877
128,Merge,HV-AV,5.7,7.650802577745228
129,Merge,HV-AV,5.7,8.619089033327606
